,Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208,Dist from rim,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,SrO,Si,Ti,Al,Fe,Mg,Ca,Na,K,Sr,An
1507,,9.68,40595.73,159.2,165694.23,280873.94,45.92,1062.15,79753.27,90969.26,66.92,125.83,3191.1,6.13,25.7,848.36,0.37,172.44,5.55,1.97,247.46,4.96,0.02,28.38,54.48,0.01,0.12,11.54,0.01,0.01,0.37,0.09,2.466,0.0,1.514,0.014,0.001,0.56,0.435,0.007,0.002,56.0
1508,,14.56,40445.01,170.91,157576.91,280194.99,18.95,1403.09,86334.86,83040.53,45.85,124.09,2802.6,4.7,27.64,913.47,0.2,165.34,4.88,2.06,248.03,5.07,0.03,27.7,55.77,0.0,0.16,10.81,0.01,0.01,0.34,0.1,2.525,0.0,1.478,0.013,0.002,0.524,0.445,0.009,0.003,54.0
1509,,13.39,36926.85,164.03,175829.16,258608.99,60.91,1326.58,82677.92,85715.9,56.39,112.99,3299.06,4.86,24.24,926.96,0.23,171.33,6.76,1.61,248.61,4.68,0.03,31.26,52.06,0.01,0.15,11.29,0.01,0.01,0.4,0.1,2.351,0.0,1.664,0.015,0.002,0.546,0.41,0.009,0.003,57.0
1510,,9.49,40240.83,159.2,174240.94,293666.08,29.94,1536.44,92188.59,87337.16,64.81,115.07,2608.44,4.86,23.6,890.43,0.2,181.0,6.76,2.76,249.18,4.76,0.02,28.86,55.07,0.01,0.16,10.71,0.01,0.01,0.29,0.09,2.496,0.0,1.542,0.011,0.001,0.52,0.418,0.009,0.002,55.0
1511,,10.66,37532.05,167.47,170478.94,289820.69,24.94,1260.41,78291.25,84739.13,52.17,126.18,2371.22,3.91,25.38,894.32,0.11,169.7,6.42,1.92,249.76,4.53,0.02,28.83,55.48,0.01,0.14,10.61,0.01,0.01,0.27,0.09,2.519,0.0,1.543,0.01,0.001,0.516,0.399,0.008,0.002,56.0
1512,,13.78,39302.67,177.12,165631.75,254712.63,38.93,1411.0,91700.64,96383.02,50.07,110.21,3039.99,4.39,26.51,881.58,0.3,172.53,5.89,2.23,250.34,5.03,0.03,29.72,51.75,0.01,0.16,12.81,0.01,0.01,0.37,0.1,2.334,0.0,1.58,0.014,0.002,0.619,0.44,0.009,0.003,58.0
1513,,11.63,38857.94,178.49,179020.62,270964.83,50.92,1283.02,92432.56,91318.71,73.24,125.14,2651.58,5.5,22.62,855.24,0.37,165.42,6.49,3.03,250.91,4.74,0.03,30.62,52.47,0.01,0.14,11.57,0.01,0.01,0.31,0.09,2.37,0.0,1.63,0.012,0.002,0.56,0.415,0.008,0.002,57.0
1514,,9.29,41450.6,172.29,158794.75,279434.45,43.92,1263.31,87554.12,89027.17,52.17,129.3,3083.16,6.93,25.05,856.3,0.32,171.93,7.09,2.01,251.49,5.15,0.03,27.64,55.08,0.01,0.14,11.48,0.01,0.02,0.37,0.09,2.492,0.0,1.474,0.014,0.002,0.556,0.452,0.008,0.002,55.0
1515,,9.68,36647.76,184.7,172897.69,270783.34,49.92,1372.27,81946.68,89834.94,50.07,125.48,3731.09,4.39,22.46,859.83,0.13,160.21,6.22,2.81,252.06,4.54,0.03,29.99,53.19,0.01,0.15,11.54,0.01,0.01,0.44,0.09,2.41,0.0,1.601,0.017,0.002,0.56,0.399,0.009,0.002,58.0
1516,,10.27,40515.64,175.74,173493.85,280339.73,43.92,1293.49,92188.59,80067.25,56.39,118.54,3083.16,5.18,23.11,875.39,0.2,164.74,4.28,1.92,252.64,4.96,0.03,29.76,54.45,0.01,0.14,10.17,0.01,0.01,0.36,0.09,2.461,0.0,1.585,0.014,0.002,0.493,0.435,0.008,0.002,53.0
1517,,11.44,38022.0,146.81,169100.29,255907.42,28.94,1452.49,93408.52,84455.55,69.02,109.17,2457.47,5.97,26.83,838.48,0.25,167.82,5.22,2.32,253.21,4.91,0.02,30.64,52.5,0.01,0.17,11.33,0.01,0.01,0.3,0.09,2.369,0.0,1.629,0.011,0.001,0.548,0.429,0.01,0.002,56.0
1518,,10.07,39936.19,179.18,172601.94,260472.55,25.94,1393.29,79996.97,94131.58,58.49,114.72,3018.41,4.7,25.05,902.65,0.25,165.6,6.49,1.57,253.79,5.0,0.03,30.31,51.78,0.01,0.16,12.24,0.01,0.01,0.36,0.1,2.334,0.0,1.61,0.014,0.002,0.591,0.437,0.009,0.003,57.0
1519,,9.68,41418.11,175.74,171233.9,263186.36,45.92,1208.38,85115.73,88989.94,60.6,116.8,2802.6,4.86,22.95,879.45,0.13,165.68,6.36,2.15,254.36,5.2,0.03,30.13,52.44,0.01,0.14,11.6,0.01,0.01,0.34,0.09,2.362,0.0,1.599,0.013,0.002,0.56,0.454,0.008,0.002,55.0
1520,,15.15,37170.26,181.94,165074.48,289007.17,38.93,1416.44,87066.39,88050.4,73.24,126.53,3277.47,4.39,24.24,886.0,0.34,168.25,5.89,2.5,254.94,4.51,0.03,28.07,55.65,0.01,0.15,11.09,0.01,0.01,0.38,0.09,2.53,0.0,1.504,0.014,0.002,0.54,0.398,0.009,0.002,57.0
1521,,9.1,45927.96,179.87,167828.12,279540.47,19.95,1258.14,86334.86,117591.23,73.24,120.97,2457.47,5.66,25.38,888.48,0.27,169.87,7.29,1.97,255.51,5.39,0.03,27.62,52.1,0.0,0.13,14.33,0.01,0.01,0.28,0.09,2.348,0.0,1.467,0.011,0.002,0.692,0.471,0.007,0.002,59.0
1522,,9.68,38436.9,177.8,177489.56,285202.56,42.93,1389.79,91456.69,89651.62,69.02,116.46,3169.51,4.07,26.67,904.42,0.23,171.76,5.75,1.75,256.09,4.58,0.03,29.67,53.98,0.01,0.15,11.1,0.01,0.01,0.36,0.09,2.447,0.0,1.585,0.014,0.002,0.539,0.402,0.009,0.002,57.0
1523,,10.46,42229.39,183.32,167067.03,284358.43,67.91,1464.6,94872.62,93449.85,64.81,127.22,3018.41,6.45,23.11,932.11,0.23,170.64,5.95,1.7,256.67,5.09,0.03,28.21,54.36,0.01,0.16,11.68,0.01,0.01,0.35,0.1,2.458,0.0,1.503,0.013,0.002,0.566,0.446,0.009,0.003,55.0
1524,,11.24,40836.42,205.38,167676.72,273156.63,49.92,1384.55,84384.34,96002.05,43.75,118.19,2435.91,5.97,27.16,885.12,0.2,174.92,6.62,2.01,257.24,5.02,0.03,28.88,53.27,0.01,0.15,12.24,0.01,0.01,0.29,0.09,2.406,0.0,1.537,0.011,0.002,0.592,0.44,0.009,0.002,57.0
