,Ca44,Na23,K39,Al27,Si29,An
265,75941.05,41326.03,1541.24,142916.59,246101.34,51.0
266,69851.29,44514.35,1896.76,150814.82,251747.09,47.0
267,79856.73,45437.73,1585.44,131537.64,256467.18,50.0
268,74551.8,43071.39,1994.76,139640.42,269977.01,49.0
269,71512.65,36492.54,1631.9,138490.92,221885.15,52.0
270,69564.84,38948.79,1513.63,146187.8,225626.55,50.0
271,76545.45,37021.73,1756.41,128593.0,237796.84,54.0
272,74528.89,40121.17,1819.35,137017.68,231786.12,51.0
273,68711.24,38539.68,1842.43,136704.0,233796.49,50.0
274,78433.11,43622.37,1418.0,138575.17,235696.76,50.0
275,74176.57,38449.98,1689.9,141794.43,248244.23,52.0
276,79126.3,43164.96,1925.81,144159.75,240402.57,51.0
277,72085.53,41169.05,1758.38,151206.97,268317.36,49.0
278,75903.82,42866.8,1439.95,139674.27,227912.18,50.0
279,78269.83,43937.77,1844.7,141742.01,243978.83,50.0
280,70163.51,37067.7,1792.96,153825.97,240255.78,51.0
281,73844.29,39847.45,2020.24,150668.63,268152.18,51.0
282,78974.48,43553.37,2263.72,149671.26,251838.85,50.0
283,77688.35,39840.03,1803.6,143186.71,251422.9,52.0
284,80083.02,41585.52,1775.35,162827.51,253771.73,52.0
285,62959.48,42423.43,1976.84,149899.95,250429.95,45.0
286,74262.5,42689.04,1934.92,144874.93,286500.37,49.0
287,67155.86,45177.16,2021.64,155849.45,242137.69,45.0
288,68742.75,46313.37,2012.43,135405.58,247950.63,45.0
289,63629.75,43217.81,2025.57,140580.26,267666.95,45.0
290,71461.09,39092.76,1918.68,131793.97,238355.51,50.0
291,70733.53,40791.95,1653.25,128320.4,248460.36,49.0
292,78023.49,42716.42,1723.79,137976.9,250403.44,51.0
293,71544.16,44118.93,1964.57,141917.65,261360.57,48.0
294,64844.27,42295.04,1792.1,156938.75,244714.88,46.0
295,84846.55,39818.37,1751.77,139340.28,247583.63,54.0
296,70289.54,40470.76,1838.56,148910.17,260797.84,49.0
297,68453.45,44076.22,1952.73,146741.51,243626.1,46.0
298,75542.9,47659.7,1786.99,144326.16,262702.19,47.0
299,68049.56,42343.67,2004.86,152759.89,256463.1,47.0
300,73351.61,43522.25,1815.75,131408.21,257543.73,49.0
301,66419.7,40451.21,1658.25,134593.62,258016.76,48.0
302,71927.99,39605.06,1958.17,148894.26,242920.62,50.0
303,77840.17,38656.68,1728.32,146154.97,248034.22,53.0
304,70533.02,42594.44,1747.14,133100.26,271485.83,48.0
305,75895.22,42608.4,1651.04,137174.84,252044.77,50.0
306,70988.46,39108.43,1866.24,129917.95,237480.8,50.0
307,70919.72,35602.81,1647.67,131938.69,243132.68,53.0
308,75333.79,40838.8,1748.3,138930.83,233663.96,51.0
309,72672.74,42276.45,1738.66,150238.87,275219.08,49.0
310,76115.78,39259.9,1843.16,145255.47,278848.34,52.0
311,66926.71,37885.58,1951.93,148499.07,232328.47,50.0
312,73116.73,39392.43,1615.62,147517.43,254984.89,51.0
313,73397.44,44512.65,1754.34,135139.66,273891.75,48.0
314,84548.66,41495.07,1825.15,136045.37,260536.85,53.0
315,74654.93,46603.64,1954.26,153586.02,247551.01,47.0
316,69286.99,38727.85,1773.09,152354.92,248715.23,50.0
317,75408.27,42271.96,2032.08,147016.13,251161.93,50.0
318,80191.86,37901.11,1484.81,136515.93,237743.82,54.0
319,75190.58,41461.02,1668.99,142482.71,247385.85,50.0
320,71552.75,40457.61,1686.8,161621.46,237297.3,50.0
321,71455.36,44005.53,1822.38,133677.85,239536.03,48.0
322,74399.99,41112.72,1669.72,132914.56,229117.18,50.0
323,68089.66,40152.7,1668.05,159154.88,244215.34,49.0
324,71544.16,39059.05,1698.27,148783.29,239503.4,51.0
325,71251.99,43080.1,1828.72,152708.57,264712.54,48.0
326,72709.98,41865.37,1688.5,128905.67,248762.12,49.0
327,74428.64,39690.74,1586.37,136004.12,249887.6,51.0
328,78722.41,43782.28,1943.39,141415.44,251838.85,50.0
329,65422.88,42432.69,1762.45,151879.61,242930.83,46.0
330,81798.8,41260.99,1919.51,139340.74,242910.44,53.0
331,71509.79,40023.64,1653.54,133442.94,238414.62,50.0
332,80853.54,39231.77,2098.02,157348.94,244884.11,53.0
333,74139.33,41262.01,2236.47,156446.87,253626.97,50.0
334,72721.44,40400.81,1966.67,153636.7,258534.63,50.0
335,72426.4,40933.54,1929.28,141051.55,268515.11,50.0
336,74480.2,37574.07,1743.0,149685.44,258970.97,52.0
337,72377.71,37475.45,1934.22,139167.95,255276.46,52.0
338,67983.68,39915.01,1782.26,138578.46,239052.81,49.0
339,74319.79,41540.09,1965.97,146585.46,242841.12,50.0
340,83422.93,39459.04,1968.4,152122.12,256459.01,54.0
341,73268.54,41682.36,2022.27,150685.29,288029.56,49.0
342,70157.78,40684.0,1624.83,146009.79,252970.44,49.0
343,70567.39,39113.33,1845.73,144567.66,254391.56,50.0
344,71343.65,40515.98,1863.37,137678.78,259501.08,50.0
345,66542.87,40290.34,1917.81,133855.03,256526.3,48.0
346,71249.12,38922.09,1662.92,149796.31,251647.18,51.0
347,67081.39,37364.78,1906.67,133091.66,254697.4,50.0
348,68221.43,42766.0,2050.46,136077.48,272807.02,47.0
349,66299.4,41347.14,1936.89,140041.91,312131.59,47.0
350,66365.28,41711.31,2165.73,137396.58,247538.77,47.0
351,67138.67,38092.35,1831.79,139928.94,275767.53,50.0
352,69413.03,41651.04,1858.7,145144.97,258610.07,48.0
353,82148.27,41014.31,1855.67,153872.98,242107.1,53.0
354,76433.74,38693.87,2113.46,155739.58,249239.22,52.0
355,71042.88,39085.68,1682.0,150018.96,285456.45,50.0
356,73692.48,38662.47,1943.96,151082.38,249820.31,52.0
357,70335.37,42095.09,1735.43,154419.75,250633.84,48.0
358,72446.45,38492.55,1984.01,149206.28,274748.09,51.0
359,72764.41,42570.81,2035.78,154150.25,318358.43,49.0
360,78375.81,41926.25,2005.5,153126.72,269512.15,51.0
361,77522.22,40400.74,1840.03,150784.44,240094.7,52.0
362,78181.03,41262.28,1950.66,143938.38,274154.76,51.0
363,73440.41,40591.71,2041.52,146494.43,279031.83,50.0
364,74208.08,42200.72,1871.41,139861.88,267173.51,50.0
365,66333.77,42640.96,1762.95,148263.43,268192.96,47.0
366,77473.52,41890.7,1920.28,143941.49,253345.59,51.0
367,69633.59,41323.78,1929.18,153058.84,290716.86,49.0
368,77628.2,41317.86,2063.33,149118.82,261780.6,51.0
369,74294.01,43863.26,1685.73,147532.62,280338.79,49.0
370,78115.15,38892.87,1963.54,155873.22,252660.52,53.0
371,74494.52,44700.01,1931.95,148511.42,258410.26,48.0
372,74683.57,40383.04,2169.73,170055.84,278320.27,51.0
373,81964.94,44066.49,2126.37,166436.64,282071.86,51.0
374,77579.5,42353.14,2003.83,155560.37,251826.61,50.0
375,74351.3,40883.14,1879.72,150965.84,279243.89,50.0
376,76840.48,42014.59,1593.91,140953.57,238769.4,51.0
377,63901.87,38875.51,1893.86,137587.12,269626.32,48.0
378,67863.37,37640.0,1838.06,145642.42,264172.23,50.0
379,77132.65,37411.23,1715.65,138012.59,252122.24,54.0
380,68009.46,34364.09,1792.13,157531.62,287271.08,52.0
381,74483.06,42478.12,1495.52,153287.63,256927.98,50.0
382,69009.14,40789.36,1711.02,149486.57,255223.44,49.0
383,71025.7,41485.67,1655.15,134606.62,274542.17,49.0
384,63635.48,36658.59,1499.82,138751.53,259380.78,49.0
385,81286.07,39977.6,1262.51,143650.33,245185.86,53.0
386,74145.06,40345.03,1624.5,182261.46,308377.93,51.0
387,69576.3,39810.4,1508.49,148404.02,245754.72,49.0
388,75041.62,36005.65,1604.48,153002.4,270425.57,54.0
389,73689.61,41578.77,1513.33,148306.05,238082.28,50.0
390,70226.52,40606.49,1471.57,162230.15,265148.86,49.0
391,73643.78,35238.3,1278.41,148747.61,238598.14,54.0
392,63687.04,36374.86,1519.36,146125.51,231822.82,50.0
393,78647.94,35788.33,1379.01,153429.6,246943.41,55.0
394,76602.74,39032.01,1477.07,156074.2,250120.05,52.0
395,79888.23,37011.92,1333.28,149609.33,253700.38,55.0
396,83872.65,36090.92,1372.71,161045.34,248513.37,57.0
397,85095.76,39112.99,1472.74,172967.11,239527.88,55.0
398,81815.99,33777.29,1787.56,157294.6,262777.61,57.0
399,82443.3,38909.97,1429.51,160001.32,233676.19,54.0
400,81503.77,42926.05,1258.07,150487.5,267701.59,52.0
401,82735.47,37897.84,1036.67,147844.1,241774.76,55.0
402,82577.93,38492.68,1568.46,143142.9,259819.15,55.0
403,79269.52,38318.33,1245.46,159059.75,243603.66,54.0
404,85147.32,37537.97,1333.28,156770.44,265650.46,56.0
405,76307.7,41169.12,1223.15,140642.28,261597.09,51.0
